member_id,name,alias,kana,chamber,party,district,elected_count,roles,committees,party_divisions,career,as_of,member_company_offices,profile_url,source_url,verified,profile_asof,influence_tier,seniority
H-0001,逢沢 一郎,,あいさわ いちろう,衆,自民,岡山1,14,,決算行政監視委員会,,昭和二十九年六月岡山県岡山市に生まれる、慶應義塾大学工学部卒業、（財）松下政経塾○（公財）松下政経塾理事○通商産業政務次官、外務副大臣○自民党商工部会長、岡山県連会長、幹事長代理、国会対策委員長、総裁特別補佐、政治制度改革実行本部長、選挙制度調査会長○衆議院外務委員長、予算委員長、議院運営委員長、政治倫理審査会長○平成二十三年五月永年在職議員として衆議院より表彰される○当選十四回（38 39 40 41 42 43 44 45 46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/001.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0002,青木 ひとみ,,あおき ひとみ,衆,参政,（比）北関東,1,,総務委員会,,昭和五十六年五月群馬県高崎市倉賀野町に生まれる、渋川看護専門学校卒業○看護師○当選一回（51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/002.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,junior
H-0003,青柳 仁士,,あおやぎ ひとし,衆,維新,大阪14,3,,外務委員会;災害対策特別委員会;政治倫理審査会,,昭和五十三年十一月東京都に生まれ、早稲田大学政治経済学部卒業、デューク大学公共政策大学院卒業○国際協力機構（ＪＩＣＡ）職員、国連職員○日本維新の会政務調査会長、国際局長○衆議院予算委員会理事、外務委員会理事、政治倫理審査会幹事○著書『小さな会社のＳＤＧｓ実践の教科書』○当選三回（49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/003.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,mid
H-0004,青山 繁晴,,あおやま しげはる,衆,自民,兵庫8,1（参2）,環境副大臣,,,環境副大臣 昭和二十七年七月二十五日、兵庫県神戸市生まれ。淳心学院中高卒。慶應義塾大学文学部中退、早稲田大学政経学部卒。共同通信社（事件記者、経済記者、政治部）。三菱総合研究所研究員。株式会社独立総合研究所を創立。「国を官任せにしない」を社是に掲げ国家危機管理、外交、安全保障、自前の海洋資源開発などの研究を統括。近畿大学客員教授、東京大学非常勤講師を務め、テレビ・ラジオ等でも発信。平成二十八年、令和四年に参議院議員選挙に当選、令和八年衆議院選挙兵庫八区から出馬し当選○現在環境副大臣、議員集団「日本の尊厳と国益を護る会」（護る会）代表○作家として著書に『ぼくらの祖国』『絶望を撃つ』等、小説に『平成紀』『わたしは灰猫』『やさしく夜想の交叉する路』等がある○当選一回（51）参二回（24 26）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/004.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,A,senior
H-0005,青山 周平,,あおやま しゅうへい,衆,自民,愛知12,5,,文部科学委員会,,昭和五十二年四月愛知県岡崎市に生まれる、法政大学社会学部卒業、（株）ＪＲ東海高島屋社員、学校法人青山学園、ながら幼稚園園長、はずみやこ幼稚園園長、文部科学大臣政務官兼内閣府大臣政務官兼復興大臣政務官、文部科学副大臣、自由民主党青年局次長、国会対策委員会副委員長、衆議院文部科学委員会理事、東日本大震災復興特別委員会理事、原子力問題調査特別委員会理事○当選五回（46 47 48繰49 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/005.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0006,赤澤 亮正,,あかざわ りょうせい,衆,自民,鳥取2,8,経済産業大臣,,,経済産業大臣、内閣府特命担当大臣 昭和三十五年十二月十八日東京都に生まれる、東京大学法学部卒業、米国コーネル大学経営大学院卒業（ＭＢＡ）○運輸省入省、国土交通省大臣官房秘書課企画官、日本郵政公社郵便事業総本部国際本部海外事業部長○国土交通大臣政務官、内閣府副大臣、財務副大臣、経済再生担当大臣、内閣府特命担当大臣（経済財政政策）○自民党国土交通部会長、国会対策副委員長、総務副会長、農林部会畜産・酪農対策委員会委員長、文化立国調査会事務局長、整備新幹線等鉄道調査会副会長、ＩＴＳ推進・道路調査会副会長、政務調査会長代理、税制調査会幹事○衆議院環境委員会委員長、原子力問題調査特別委員会委員長○著書『テロ等準備罪』○当選八回（44 45 46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/006.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,A,senior
H-0007,赤羽 一嘉,,あかば かずよし,衆,中道,（比）近畿,11,,国土交通委員会;国家基本政策委員会,,昭和三十三年五月東京都新宿区中落合に生まれる、慶應義塾大学法学部卒業○三井物産株式会社入社、中国等に駐在○国土交通大臣、経済産業副大臣兼内閣府副大臣、財務副大臣○党副代表○衆議院災害対策特別委員長、国土交通委員長、経済産業委員長、総務委員長○当選十一回（40 41 42 43 44 46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/007.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0008,あかま 二郎,,あかま じろう,衆,自民,神奈川14,7,国家公安委員会委員長領土問題担当内閣府特命担当大臣,,,国家公安委員会委員長、内閣府特命担当大臣 昭和四十三年三月神奈川県相模原市に生まれる、立教大学経済学部経済学科卒業、マンチェスター大学Dip取得○神奈川県議会議員、保護司○総務大臣政務官、総務副大臣兼内閣府副大臣、内閣府副大臣○自民党副幹事長、自民党国会対策副委員長、自民党総務部会長○衆議院財務金融委員会理事、国土交通委員長、同委員会筆頭理事、総務委員会筆頭理事○当選七回（44 46 47 48 49 50 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/008.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,A,senior
H-0009,秋葉 賢也,,あきば けんや,衆,自民,（比）東北,8,,議院運営委員会;憲法審査会;政治倫理審査会,,昭和三十七年七月三日宮城県に生まれる、中央大学法学部卒業、東北大学大学院法学研究科修了（法学修士）○松下政経塾卒塾後、東北福祉大学講師、宮城県議会議員（三期）○総務大臣政務官、厚生労働副大臣および復興副大臣、内閣総理大臣補佐官、復興大臣○自民党副幹事長、外交部会長、政務調査副会長、情報調査局長等を歴任○衆議院環境委員長、災害対策特別委員長○保護司や東北医科薬科大学講師も務める○著書『広報ＤＸ』（宣伝会議）『世界の刑務所を訪ねて』（小学館新書）『厚生労働省改造論』（イースト新書）『松下幸之助「最後の言葉」』（角川SSC新書）『ジブリワールド構想』（ＫＫロングセラーズ）○当選八回（43補44 45 46 47 48 49 51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/009.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,senior
H-0010,浅田 眞澄美,,あさだ ますみ,衆,自民,（比）九州,1,,総務委員会;財務金融委員会;政治改革に関する特別委員会;北朝鮮による拉致問題等に関する特別委員会,,昭和四十一年九月十二日長崎県長崎市に生まれる。法政大学大学院政策創造研究科修士課程修了○長崎県議会議員五期、介護福祉士、ラジオ番組ディレクター○衆議院内閣委員○共著『コンテンツツーリズム入門』○当選一回（51）,2026-07-03,,https://www.shugiin.go.jp/internet/itdb_giinprof.nsf/html/profile/010.html,https://www.shugiin.go.jp/internet/itdb_annai.nsf/html/statics/syu/1giin.htm,yes,令和8年4月現在,B,junior
