member_id,name,party,status,candidates,note
H-0006,赤澤 亮正,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0008,あかま 二郎,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0010,浅田 眞澄美,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0014,畦元 将吾,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0018,あべ 俊子,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0020,有田 芳生,中道,multiple,arita_office;aritayoshifu,Wikidata P2002が複数候補。QID=Q11516618。公式確認後に1つをx_handles.csvへ登録
H-0021,安藤 たかお,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0027,石井 啓一,無,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0039,市村 浩一郎,維新,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0041,井戸 まさえ,国民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0042,伊藤 恵介,参政,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0046,伊藤 達也,自民,multiple,Tatsuya_jcp;tatsuyaito0501,"Wikidata P2002が複数候補。QID=Q41770666,Q614476。公式確認後に1つをx_handles.csvへ登録"
H-0048,伊東 良孝,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0054,井上 貴博,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0066,上田 英俊,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0070,浮島 智子,中道,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0071,宇佐美 登,みらい,multiple,NoboruUsami;TeamUsami587,Wikidata P2002が複数候補。QID=Q11449090。公式確認後に1つをx_handles.csvへ登録
H-0073,内山 こう,自民,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0074,梅村 聡,維新,multiple,umemura1satoshi;umemura_ishin,Wikidata P2002が複数候補。QID=Q7426422。公式確認後に1つをx_handles.csvへ登録
H-0076,うるま 譲司,維新,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0081,遠藤 敬,維新,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0085,大島 敦,中道,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
H-0088,大西 洋平,自民,multiple,0024youhei;yohei_onishi,"Wikidata P2002が複数候補。QID=Q130727259,Q20039112。公式確認後に1つをx_handles.csvへ登録"
H-0091,緒方 林太郎,無,not_found,,Wikidata P2002候補なし。公式サイト・政党ページ等で要調査
