member_id,name,party,status,candidates,scores,note
H-0006,赤澤 亮正,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0010,浅田 眞澄美,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0014,畦元 将吾,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0018,あべ 俊子,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0042,伊藤 恵介,参政,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0048,伊東 良孝,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0054,井上 貴博,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0066,上田 英俊,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0070,浮島 智子,中道,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0071,宇佐美 登,みらい,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0074,梅村 聡,維新,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0081,遠藤 敬,維新,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0091,緒方 林太郎,無,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0097,尾崎 正直,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0098,長田 紘一郎,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0118,加藤 大博,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0119,加藤 竜祥,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0124,金子 容三,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0141,岸 信千世,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0143,喜多 義典,維新,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0152,工藤 聖子,参政,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0156,熊田 裕通,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0157,栗原 渉,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0162,小泉 龍司,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0164,高村 正大,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0182,西條 昌良,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0189,坂本 哲志,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0191,笹川 博義,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0197,塩崎 彰久,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0204,島村 かおる,参政,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0213,鈴木 俊一,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0219,鈴木 美香,参政,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0225,世古 万美子,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0231,高階 恵美子,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0236,高橋 祐介,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0241,武田 良太,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0245,橘 慶一郎,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0253,谷 公一,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0256,田野瀬 太道,自民,unresolved,,,未解決: 検索結果にX候補なし
H-0261,田村 憲久,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0262,俵田 祐児,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0265,辻 秀樹,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0266,辻 由布子,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0279,中川こういち,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0284,長澤 興祐,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0324,野田 佳彦,中道,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0359,藤沢 忠盛,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0373,古川 禎久,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0381,前川 恵,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0384,牧野 俊一,参政,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0395,水野よしひこ,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0414,村上 誠一郎,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0418,森 英介,無,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0421,森原 紀代子,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0422,森山 裕,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0432,山下 史守朗,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0437,山田 基靖,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0442,山本 大地,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0448,吉田 有理,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0452,若狹 清史,維新,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0462,渡辺 孝一,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0463,渡辺 真太朗,無,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0465,渡辺 博道,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0010,阿達 雅志,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0011,足立 康史,民主,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0015,安野 貴博,無所属,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0024,石橋 通宏,立憲,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0027,礒崎 哲史,民主,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0028,磯崎 仁彦,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0040,いんどう 周作,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0044,上野 通子,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0049,江島 潔,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0065,梶原 大介,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0073,かまやち 敏,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0080,北村 晴男,保守,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0087,見坂 茂範,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0093,古賀 之士,立憲,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0094,小島 とも子,立憲,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0114,柴 愼一,立憲,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0120,進藤 金日子,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0133,高橋 克法,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0151,堂込 麻紀子,民主,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0155,ながえ 孝子,無所属,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0174,羽田 次郎,立憲,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0175,馬場 成志,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0180,東野 秀樹,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0181,百田 尚樹,保守,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0190,福山 守,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0191,藤井 一博,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0193,藤木 眞也,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0196,古川 俊治,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0200,舞立 昇治,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0202,牧山 ひろえ,立憲,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0209,松山 政司,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0219,宮本 周司,自民,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0224,森本 真治,立憲,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0231,山田 吉彦,民主,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
S-0237,山本 太郎,れ新,unresolved,,,未解決: 自動判定条件を満たさず。公式確認が必要
