member_id,name,party,x_handle,note
H-0001,逢沢 一郎,自民,ichiroaisawa,Wikidata P2002候補 Q467453。要公式確認
H-0002,青木 ひとみ,参政,aoki_sanseito,Wikidata P2002候補 Q138123242。要公式確認
H-0003,青柳 仁士,維新,aoyagi_h,Wikidata P2002候補 Q41770689。要公式確認
H-0004,青山 繁晴,自民,aoyamashigeharu,Wikidata P2002候補 Q11661317。要公式確認
H-0005,青山 周平,自民,ao_shu_office,Wikidata P2002候補 Q11661236。要公式確認
H-0006,赤澤 亮正,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0007,赤羽 一嘉,中道,AKBhyogo2ku,Wikidata P2002候補 Q6381788。要公式確認
H-0008,あかま 二郎,自民,jiroakama0327,Xプロフィール/検索結果から自動登録。要公式確認
H-0009,秋葉 賢也,自民,akibakenya,Wikidata P2002候補 Q49996。要公式確認
H-0010,浅田 眞澄美,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0011,浅野 哲,国民,Asano__Satoshi,Wikidata P2002候補 Q41770642。要公式確認
H-0012,東 国幹,自民,azuma0217,Wikidata P2002候補 Q109342279。要公式確認
H-0013,東 徹,維新,toru_azuma,公式サイトSNSページとXプロフィールで確認
H-0014,畦元 将吾,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0015,麻生 太郎,自民,taro_aso_,Wikidata P2002候補 Q132596。要公式確認
H-0016,阿部 圭史,維新,abe_keishi,Wikidata P2002候補 Q130746313。要公式確認
H-0017,阿部 司,維新,abe2kasa,Wikidata P2002候補 Q108777328。要公式確認
H-0018,あべ 俊子,自民,,未解決: 自動判定条件を満たさず。公式確認が必要
H-0019,阿部 弘樹,自民,HirokiAbe1961,Wikidata P2002候補 Q109598988。要公式確認
H-0020,有田 芳生,中道,arita_office,Xプロフィール/検索結果から自動登録。要公式確認
H-0021,安藤 たかお,自民,andotakao1959,Xプロフィール/検索結果から自動登録。要公式確認
H-0022,飯泉 嘉門,国民,iizumi_comeon,Wikidata P2002候補 Q1670854。要公式確認
H-0023,五十嵐 清,自民,igakiyo1969,Wikidata P2002候補 Q109362574。要公式確認
H-0024,池下 卓,維新,iketaku_0410,Wikidata P2002候補 Q109349388。要公式確認
H-0025,池畑 浩太朗,維新,VGZ20ydBf5ouj4c,Wikidata P2002候補 Q41770920。要公式確認
H-0026,伊佐 進一,中道,isashinichi,Wikidata P2002候補 Q11378895。要公式確認
H-0027,石井 啓一,無,keiichi_ishii_,Xプロフィール/検索結果から自動登録。要公式確認
H-0028,石井 拓,自民,takuishii,Wikidata P2002候補 Q109378463。要公式確認
H-0029,石川 昭政,自民,iakimasa1,Wikidata P2002候補 Q11585840。要公式確認
H-0030,石川 勝,参政,ishikawamasaru,Wikidata P2002候補 Q138357535。要公式確認
H-0031,石坂 太,自民,ishimasa1223,Wikidata P2002候補 Q138145234。要公式確認
H-0032,石田 真敏,自民,ishidamasatoshi,Wikidata P2002候補 Q6782738。要公式確認
H-0033,石破 茂,自民,shigeruishiba,Wikidata P2002候補 Q1335527。要公式確認
H-0034,石橋 林太郎,自民,ishibashi_rintaro,Wikidata P2002候補 Q109598962。要公式確認
H-0035,石原 宏高,自民,ishiharahirotak,Wikidata P2002候補 Q506730。要公式確認
H-0036,石原 正敬,自民,fu_un17,Xプロフィールで確認
H-0037,泉 健太,中道,izmkenta,Wikidata P2002候補 Q6391984。要公式確認
H-0038,一谷 勇一郎,維新,y_ichitani,Wikidata P2002候補 Q109598975。要公式確認
H-0039,市村 浩一郎,維新,ichimura_staff,Xプロフィール/検索結果から自動登録。要公式確認
H-0040,井出 庸生,自民,yousei_ide,Wikidata P2002候補 Q11373350。要公式確認
H-0041,井戸 まさえ,国民,idomasae,Xプロフィール/検索結果から自動登録。要公式確認
H-0042,伊藤 恵介,参政,,未解決: 自動判定条件を満たさず。公式確認が必要
